序号,代码,名称,市场代码简称,最新价(元),涨跌幅(%),涨跌额(元),最高价(元),最低价(元),换手率(%),量比,成交量(股),成交额(元),市盈率(动)(倍),市净率(倍),总市值(元),流通市值(元)
63,300442,润泽科技,SZ,63.25,9.24,5.350,65.95,61.08,2.77,1.80,4546.11万,28.87亿,44.57,7.4749,1038.09亿,1036.32亿
64,688165,埃夫特-U,SH,16.53,9.04,1.370,17.09,15.62,2.84,2.19,1482.38万,2.42亿,-220.34,7.1358,86.25亿,86.25亿
65,605488,福莱新材,SH,24.53,8.78,1.980,24.81,23.20,3.29,2.18,908.56万,2.20亿,97.67,3.3178,73.59亿,67.70亿
66,000960,锡业股份,SZ,34.10,8.39,2.640,34.50,32.70,5.17,1.88,8501.38万,28.62亿,16.17,2.7629,561.09亿,561.09亿
67,688372,伟测科技,SH,108.87,8.34,8.380,116.43,106.89,8.98,1.52,1517.63万,16.87亿,64.91,4.4593,183.99亿,183.99亿
68,002428,云南锗业,SZ,66.95,8.33,5.150,67.98,66.26,8.73,0.88,5703.35万,38.55亿,1200.34,29.8950,437.26亿,437.21亿
69,300229,拓尔思,SZ,14.04,8.33,1.080,14.50,13.06,5.93,2.43,5175.38万,7.22亿,-39.61,3.2546,122.66亿,122.57亿
70,000571,新大洲A,SZ,5.86,8.32,0.450,5.88,5.60,3.91,1.44,3180.65万,1.84亿,-37.22,326.1158,49.17亿,47.70亿
71,002403,爱仕达,SZ,9.12,8.31,0.700,9.18,8.43,3.66,1.58,1087.34万,9654.90万,-74.08,2.2461,31.07亿,27.10亿
72,002916,深南电路,SZ,308.00,8.26,23.500,312.95,304.40,2.26,1.34,1501.73万,46.61亿,61.69,12.7494,2097.99亿,2047.61亿
73,000608,阳光股份,SZ,6.10,8.16,0.460,6.20,5.73,4.61,1.01,3439.98万,2.09亿,-48.72,2.2276,45.74亿,45.47亿
74,603662,柯力传感,SH,50.53,8.13,3.800,51.40,48.40,4.17,2.30,1170.39万,5.88亿,86.28,5.2802,141.90亿,141.90亿
75,603666,亿嘉和,SH,22.15,8.10,1.660,22.25,20.85,3.70,2.09,760.86万,1.66亿,-22.42,2.1488,45.52亿,45.52亿
76,001389,广合科技,SZ,141.82,7.93,10.420,144.54,139.00,8.68,1.56,1321.90万,18.92亿,42.68,9.7110,670.19亿,215.87亿
77,920438,戈碧迦,BJ,111.18,7.73,7.980,120.94,107.33,5.04,1.23,702.63万,8.09亿,348.59,16.5710,160.61亿,154.98亿
78,300113,顺网科技,SZ,18.00,7.72,1.290,18.39,17.15,8.84,1.81,4497.50万,8.06亿,37.69,4.7539,121.35亿,91.62亿
79,600418,江淮汽车,SH,26.27,7.71,1.880,26.34,23.33,8.61,2.44,1.88亿,47.60亿,-24.43,4.7058,592.17亿,573.74亿
80,300638,广和通,SZ,20.70,7.70,1.480,21.25,19.58,7.80,1.66,4136.61万,8.48亿,481.44,3.0673,186.15亿,109.80亿
